fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,21.05,21.05,2026-01-01 [Closed]
2080/2081,10.00,0.526,10.526,2025-06-30 [Closed]
2076/2077,20.00,1.0526,21.0526,2022-02-07 [Closed]
2075/2076,10.00,0.5263,10.5263,2021-02-19 [Closed]
2074/2075,34.46,35.53,70.00,2019-07-25 [Closed]
2073/2074,12.00,0.63,12.63,2019-03-05 [Closed]
2072/2073,24.8,1.3,26.1,2017-05-19 [Closed]
2071/2072,25.00,1.32,26.32,2016-05-12 [Closed]
2070/2071,30.00,,30.00,2015-02-13 [Closed]
2069/2070,30.00,1.57,30.00,2014-02-14 [Closed]
2068/2069,62.00,3.26,65.26,2012-12-16 [Closed]
