fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,0.2632,5.2632,2025-12-03 [Closed]
2080/2081,5.00,0.26,5.26,2024-10-04 [Closed]
2079/2080,,2.00,2.00,2024-01-02 [Closed]
