ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:2.5,13843379.00,100.00,2017-04-05,2017-05-10,,Sanima Capital Ltd.
10:5.50,16858786.00,100.00,2016-06-18,2016-07-23,,Global IME Capital Ltd.
