fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,19.00,1.00,20.00,2021-12-22 [Closed]
2076/2077,15.00,0.79,15.79,2021-02-26 [Closed]
2075/2076,7.00,0.36,7.36,2019-12-04 [Closed]
