fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,15.00,16.5789,31.5789,2025-11-21 [Closed]
2080/2081,10.00,26.8421,36.8421,2024-11-28 [Closed]
2079/2080,5.00,26.5789,31.5789,2023-12-21 [Closed]
2078/2079,5.00,21.3158,26.3158,2022-12-22 [Closed]
2075/2076,15.00,11.31,26.31,2019-12-11 [Closed]
2074/2075,10.00,16.31,26.31,2018-12-12 [Closed]
2073/2074,15.00,6.05,21.05,2017-11-20 [Closed]
2072/2073,10.00,11.05,21.05,2016-12-12 [Closed]
2071/2072,25.00,6.57,31.57,2015-12-16 [Closed]
2070/2071,40.00,17.89,57.89,2014-12-14 [Closed]
2069/2070,40.00,12.632,52.632,2013-11-17 [Closed]
2068/2069,20.00,32.63,52.63,2012-12-05 [Closed]
2067/2068,20.00,32.63,52.63,
