ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
2:1,2729705.00,100.00,2022-02-20,2022-03-13,,BOK Capital Market Ltd.
1:2,3639606.00,100.00,2020-10-02,2020-10-22,,BOK Capital Limited
