fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,,15.00,15.00,2025-08-29 [Closed]
2080/2081,,15.00,15.00,2024-09-27 [Closed]
2079/2080,,15.00,15.00,2023-09-29 [Closed]
2078/2079,0.00,21.0526,21.0526,2022-08-16 [Closed]
2077/2078,0.00,30.00,30.00,2021-09-03 [Closed]
2076/2077,0.00,5.00,5.00,2020-10-02 [Closed]
