fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,30.00,30.00,2026-01-04 [Closed]
2080/2081,0.00,30.00,30.00,2025-01-02 [Closed]
2079/2080,0.00,40.00,40.00,2024-01-04 [Closed]
2078/2079,0.00,40.00,40.00,2023-01-02 [Closed]
2077/2078,20.00,20.00,40.00,2022-03-25 [Closed]
2076/2077,0.00,40.00,40.00,2021-03-12 [Closed]
2075/2076,0.00,45.00,45.00,2019-12-31 [Closed]
2074/2075,0.00,55.00,55.00,2018-12-30 [Closed]
2073/2074,0.00,55.00,55.00,2017-12-27 [Closed]
2072/2073,0.00,51.00,51.00,2017-02-26 [Closed]
2071/2072,0.00,50.00,50.00,2016-04-17 [Closed]
2070/2071,0.00,47.00,47.00,2015-03-26 [Closed]
2069/2070,0.00,46.00,46.00,2014-06-13 [Closed]
2068/2069,0.00,48.00,48.00,2013-03-17 [Closed]
2067/2068,0.00,45.00,45.00,2012-03-16 [Closed]
