fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,,10.5,10.5,2025-08-25 [Closed]
2080/2081,,9.5,9.5,2024-09-04 [Closed]
2079/2080,,6.00,6.00,2023-09-04 [Closed]
