ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:4,1973929.00,100.00,2017-10-28,2017-12-03,,NIBL Capital Market Limited
2:1,1468697.00,100.00,2016-10-06,2016-11-09,,NIBL Capital Market Limited
