date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-04-28,1,2026042805016511,AHL,7,64,196,505.00,"98,980.00"
2026-04-28,2,2026042805016510,AHL,34,64,200,505.00,"101,000.00"
2026-04-28,3,2026042805016509,AHL,57,64,50,505.10,"25,255.00"
2026-04-28,4,2026042805016508,AHL,58,64,20,510.00,"10,200.00"
2026-04-28,5,2026042805016507,AHL,49,64,10,510.00,"5,100.00"
2026-04-28,6,2026042805016506,AHL,58,64,19,510.00,"9,690.00"
2026-04-28,7,2026042805016384,AHL,56,34,10,520.00,"5,200.00"
2026-04-28,8,2026042805016383,AHL,56,11,85,519.00,"44,115.00"
2026-04-28,9,2026042805016227,AHL,56,42,114,515.00,"58,710.00"
2026-04-28,10,2026042805016226,AHL,56,36,180,512.00,"92,160.00"
2026-04-28,11,2026042805016171,AHL,58,36,20,512.00,"10,240.00"
2026-04-28,12,2026042805016505,AHL,16,64,100,510.00,"51,000.00"
2026-04-28,13,2026042805016504,AHL,57,64,50,510.10,"25,505.00"
2026-04-28,14,2026042805016503,AHL,18,64,50,510.20,"25,510.00"
2026-04-28,15,2026042805016502,AHL,6,64,100,510.20,"51,020.00"
2026-04-28,16,2026042805016501,AHL,56,64,390,511.00,"199,290.00"
2026-04-28,17,2026042805016500,AHL,77,64,115,512.10,"58,891.50"
2026-04-28,18,2026042805016438,BEDC,34,45,50,379.00,"18,950.00"
2026-04-28,19,2026042805016422,BEDC,26,7,"4,396",377.00,"1,657,292.00"
2026-04-28,20,2026042805016421,BEDC,35,7,10,377.00,"3,770.00"
2026-04-28,21,2026042805016420,BEDC,67,7,50,378.00,"18,900.00"
2026-04-28,22,2026042805016419,BEDC,25,7,544,378.00,"205,632.00"
2026-04-28,23,2026042805016172,BEDC,47,45,80,377.00,"30,160.00"
2026-04-28,24,2026042805016072,BEDC,8,45,50,377.00,"18,850.00"
2026-04-28,25,2026042805016356,BEDC,25,90,250,378.00,"94,500.00"
2026-04-28,26,2026042805016355,BEDC,74,90,250,379.00,"94,750.00"
2026-04-28,27,2026042805016259,BEDC,25,13,30,378.00,"11,340.00"
2026-04-28,28,2026042805016208,BEDC,65,13,10,378.00,"3,780.00"
2026-04-28,29,2026042805016173,BEDC,38,45,20,377.00,"7,540.00"
2026-04-28,30,2026042805016485,BGWT,47,64,10,740.00,"7,400.00"
2026-04-28,31,2026042805016329,BHDC,33,48,15,463.00,"6,945.00"
2026-04-28,32,2026042805016328,BHDC,33,45,35,463.00,"16,205.00"
2026-04-28,33,2026042805016290,BHDC,57,58,88,462.00,"40,656.00"
2026-04-28,34,2026042805016532,BHL,43,22,250,218.00,"54,500.00"
2026-04-28,35,2026042805016531,BHL,41,25,50,217.50,"10,875.00"
2026-04-28,36,2026042805016319,BHL,74,22,545,218.00,"118,810.00"
2026-04-28,37,2026042805016318,BHL,74,48,46,218.00,"10,028.00"
2026-04-28,38,2026042805016317,BHL,74,17,"1,778",217.90,"387,426.20"
2026-04-28,39,2026042805016316,BHL,74,52,631,217.50,"137,242.50"
2026-04-28,40,2026042805016123,BHL,13,95,50,217.70,"10,885.00"
2026-04-28,41,2026042805016122,BHL,52,95,100,217.80,"21,780.00"
2026-04-28,42,2026042805016083,BHL,14,48,70,218.00,"15,260.00"
2026-04-28,43,2026042805016062,BHL,58,48,19,218.00,"4,142.00"
2026-04-28,44,2026042805016187,BHL,45,49,100,217.60,"21,760.00"
2026-04-28,45,2026042805016186,BHL,89,49,100,217.60,"21,760.00"
2026-04-28,46,2026042805016185,BHL,32,49,100,217.70,"21,770.00"
2026-04-28,47,2026042805016166,BHL,11,48,100,218.00,"21,800.00"
2026-04-28,48,2026042805016133,BHL,44,48,15,218.00,"3,270.00"
2026-04-28,49,2026042805016124,BHL,32,95,400,217.70,"87,080.00"
2026-04-28,50,2026042805016249,BHL,58,94,39,217.50,"8,482.50"
2026-04-28,51,2026042805016248,BHL,14,94,210,217.60,"45,696.00"
2026-04-28,52,2026042805016247,BHL,37,94,"1,000",217.70,"217,700.00"
2026-04-28,53,2026042805016207,BHL,41,48,80,218.00,"17,440.00"
2026-04-28,54,2026042805016206,BHL,41,38,20,217.80,"4,356.00"
2026-04-28,55,2026042805016188,BHL,58,49,620,217.50,"134,850.00"
2026-04-28,56,2026042805016255,BHL,39,94,631,217.50,"137,242.50"
2026-04-28,57,2026042805016254,BHL,14,94,150,217.50,"32,625.00"
2026-04-28,58,2026042805016253,BHL,49,94,20,217.50,"4,350.00"
2026-04-28,59,2026042805016252,BHL,89,94,500,217.50,"108,750.00"
2026-04-28,60,2026042805016251,BHL,42,94,250,217.50,"54,375.00"
2026-04-28,61,2026042805016250,BHL,35,94,500,217.50,"108,750.00"
2026-04-28,62,2026042805016268,BHL,57,95,432,217.20,"93,830.40"
2026-04-28,63,2026042805016267,BHL,8,95,"2,000",217.30,"434,600.00"
2026-04-28,64,2026042805016266,BHL,32,95,798,217.30,"173,405.40"
2026-04-28,65,2026042805016265,BHL,29,95,150,217.40,"32,610.00"
2026-04-28,66,2026042805016264,BHL,42,95,120,217.40,"26,088.00"
2026-04-28,67,2026042805016261,BHL,39,52,369,217.50,"80,257.50"
2026-04-28,68,2026042805016393,BHPL,75,6,100,527.00,"52,700.00"
2026-04-28,69,2026042805016175,BHPL,74,6,300,527.00,"158,100.00"
2026-04-28,70,2026042805016114,BHPL,4,6,100,527.00,"52,700.00"
2026-04-28,71,2026042805016113,BHPL,49,6,25,527.00,"13,175.00"
2026-04-28,72,2026042805016112,BHPL,45,6,200,527.10,"105,420.00"
2026-04-28,73,2026042805016274,BNHC,42,33,50,332.00,"16,600.00"
2026-04-28,74,2026042805016061,BNHC,54,75,5,332.00,"1,660.00"
2026-04-28,75,2026042805016060,BNHC,53,75,10,332.00,"3,320.00"
2026-04-28,76,2026042805016381,CHDC,13,34,50,"2,313.00","115,650.00"
2026-04-28,77,2026042805016118,CIT,6,26,25,"1,767.10","44,177.50"
2026-04-28,78,2026042805016367,CLI,49,57,122,456.10,"55,644.20"
2026-04-28,79,2026042805016366,CLI,49,57,200,456.20,"91,240.00"
2026-04-28,80,2026042805016365,CLI,49,57,200,456.20,"91,240.00"
2026-04-28,81,2026042805016364,CLI,42,57,435,456.20,"198,447.00"
2026-04-28,82,2026042805016363,CLI,58,57,10,456.30,"4,563.00"
2026-04-28,83,2026042805016362,CLI,42,57,33,456.30,"15,057.90"
2026-04-28,84,2026042805016212,CLI,42,17,67,456.30,"30,572.10"
2026-04-28,85,2026042805016211,CLI,75,17,26,456.30,"11,863.80"
2026-04-28,86,2026042805016203,DOLTI,74,53,182,379.70,"69,105.40"
2026-04-28,87,2026042805016202,DOLTI,74,53,18,379.50,"6,831.00"
2026-04-28,88,2026042805016437,DORDI,7,34,100,277.50,"27,750.00"
2026-04-28,89,2026042805016418,DORDI,42,48,329,277.00,"91,133.00"
2026-04-28,90,2026042805016417,DORDI,48,48,400,277.00,"110,800.00"
2026-04-28,91,2026042805016416,DORDI,43,48,200,277.00,"55,400.00"
2026-04-28,92,2026042805016415,DORDI,58,48,71,277.00,"19,667.00"
2026-04-28,93,2026042805016414,DORDI,48,48,200,277.10,"55,420.00"
2026-04-28,94,2026042805016055,DORDI,58,34,15,278.00,"4,170.00"
2026-04-28,95,2026042805016546,EHPL,19,57,20,394.10,"7,882.00"
2026-04-28,96,2026042805016441,EHPL,11,5,2,395.00,790.00
2026-04-28,97,2026042805016278,EHPL,36,57,50,396.00,"19,800.00"
2026-04-28,98,2026042805016512,GCIL,33,84,41,414.30,"16,986.30"
2026-04-28,99,2026042805016091,GCIL,42,84,121,414.00,"50,094.00"
2026-04-28,100,2026042805016090,GCIL,8,84,250,414.00,"103,500.00"
2026-04-28,101,2026042805016089,GCIL,41,84,200,414.00,"82,800.00"
2026-04-28,102,2026042805016088,GCIL,5,84,490,414.00,"202,860.00"
2026-04-28,103,2026042805016095,GCIL,21,84,372,414.00,"154,008.00"
2026-04-28,104,2026042805016092,GCIL,34,84,100,414.00,"41,400.00"
2026-04-28,105,2026042805016225,GCIL,37,21,30,417.00,"12,510.00"
2026-04-28,106,2026042805016354,GCIL,56,48,13,424.00,"5,512.00"
2026-04-28,107,2026042805016353,GCIL,56,62,25,420.00,"10,500.00"
2026-04-28,108,2026042805016352,GCIL,56,45,12,418.00,"5,016.00"
2026-04-28,109,2026042805016320,GIBF1,19,4,"19,500",11.16,"217,620.00"
2026-04-28,110,2026042805016460,GVL,65,26,11,488.40,"5,372.40"
2026-04-28,111,2026042805016443,GVL,25,90,100,488.50,"48,850.00"
2026-04-28,112,2026042805016524,HATHY,3,42,226,835.00,"188,710.00"
2026-04-28,113,2026042805016523,HATHY,45,42,10,835.00,"8,350.00"
2026-04-28,114,2026042805016522,HATHY,58,42,18,835.00,"15,030.00"
2026-04-28,115,2026042805016351,HATHY,58,45,29,835.00,"24,215.00"
2026-04-28,116,2026042805016275,HATHY,58,42,38,835.00,"31,730.00"
2026-04-28,117,2026042805016241,HATHY,58,58,75,835.00,"62,625.00"
2026-04-28,118,2026042805016204,HATHY,57,45,10,835.10,"8,351.00"
2026-04-28,119,2026042805016167,HATHY,32,45,235,835.10,"196,248.50"
2026-04-28,120,2026042805016542,HDL,25,22,18,"1,148.20","20,667.60"
2026-04-28,121,2026042805016541,HDL,58,22,10,"1,148.30","11,483.00"
2026-04-28,122,2026042805016540,HDL,45,22,10,"1,148.40","11,484.00"
2026-04-28,123,2026042805016539,HDL,45,22,12,"1,148.50","13,782.00"
2026-04-28,124,2026042805016076,HDL,7,22,10,"1,149.00","11,490.00"
2026-04-28,125,2026042805016070,HDL,47,45,11,"1,149.00","12,639.00"
2026-04-28,126,2026042805016192,HDL,77,90,20,"1,149.00","22,980.00"
2026-04-28,127,2026042805016191,HDL,7,90,10,"1,149.00","11,490.00"
2026-04-28,128,2026042805016377,HDL,18,90,100,"1,149.00","114,900.00"
2026-04-28,129,2026042805016263,HDL,45,58,38,"1,148.50","43,643.00"
2026-04-28,130,2026042805016498,HHL,92,45,100,388.00,"38,800.00"
2026-04-28,131,2026042805016409,HHL,8,48,119,390.00,"46,410.00"
2026-04-28,132,2026042805016408,HHL,8,45,100,390.00,"39,000.00"
2026-04-28,133,2026042805016407,HHL,8,45,300,390.00,"117,000.00"
