ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:1.2,7918440.00,100.00,2017-07-19,2017-08-22,,NMB Capital Ltd.
2:1,19322700.00,100.00,2016-12-03,2017-01-14,,Civil Capital Market Limited
5:1,5552501.00,100.00,2015-10-03,2015-11-07,,Nabil Investment Banking Ltd.
