fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,,20.00,20.00,2025-08-19 [Closed]
2080/2081,,7.5,7.5,2024-08-15 [Closed]
2079/2080,,9.5,9.5,2023-08-17 [Closed]
2078/2079,0.00,5.00,5.00,2022-08-23 [Closed]
2077/2078,0.00,25.00,25.00,2021-07-28 [Closed]
