ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:3,5275572.00,100.00,2022-03-15,2022-04-04,,NIBL Ace Capital Ltd
10:3,3171932.00,100.00,2020-06-28,2020-07-19,,Nibl Ace Capital Limited
2:1,875000.00,100.00,2014-04-12,2014-05-17,,NIBL Capital Mrkets Ltd.
