fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,20.00,1.0526,21.0526,2025-12-03 [Closed]
2080/2081,15.00,0.7895,15.7895,2024-12-26 [Closed]
2079/2080,15.00,0.7895,15.7895,2024-03-13 [Closed]
2078/2079,0.00,10.5263,10.5263,2022-12-13 [Closed]
