fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,8.0396,0.4231,8.4627,2026-01-01 [Closed]
2080/2081,5.75,0.3027,6.0527,2025-03-28 [Closed]
2078/2079,3.8,0.2,4.00,2024-03-22 [Closed]
2076/2077,3.8,0.2,4.00,2021-03-30 [Closed]
