fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,10.00,5.7895,15.7895,2025-09-24 [Closed]
2080/2081,7.00,5.00,12.00,2024-10-01 [Closed]
2078/2079,4.41,0.2321,4.6421,2023-04-28 [Closed]
2077/2078,18.5,0.97,19.47,2021-10-27 [Closed]
2076/2077,4.4,0.23,4.63,2020-12-31 [Closed]
2075/2076,0.00,6.8,6.8,2019-12-16 [Closed]
2074/2075,1.5,8.00,9.5,2019-06-14 [Closed]
2073/2074,5.5,6.5,12.00,2018-07-02 [Closed]
