ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:0.56621279,11938714.58,100.00,,,,NIC Asia Capital Limited
1:1,10542604.00,100.00,2025-04-01,2025-04-27,,Sanima Capital Limited
