date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-03-25,1,2026032505035938,BBC,58,48,10,"5,499.00","54,990.00"
2026-03-25,2,2026032505035792,BBC,58,35,10,"5,479.00","54,790.00"
2026-03-25,3,2026032505035791,BBC,58,45,10,"5,479.00","54,790.00"
2026-03-25,4,2026032505035705,BBC,58,43,10,"5,449.00","54,490.00"
2026-03-25,5,2026032505035929,BGWT,47,47,10,787.00,"7,870.00"
2026-03-25,6,2026032505035598,BHDC,38,4,100,498.00,"49,800.00"
2026-03-25,7,2026032505035579,BHDC,42,48,300,496.00,"148,800.00"
2026-03-25,8,2026032505035976,BHL,32,42,10,248.00,"2,480.00"
2026-03-25,9,2026032505035957,BHL,40,64,462,247.00,"114,114.00"
2026-03-25,10,2026032505035956,BHL,51,64,25,247.00,"6,175.00"
2026-03-25,11,2026032505035955,BHL,25,64,513,247.00,"126,711.00"
2026-03-25,12,2026032505035868,BHL,25,21,"1,900",247.00,"469,300.00"
2026-03-25,13,2026032505035867,BHL,58,21,100,247.90,"24,790.00"
2026-03-25,14,2026032505035562,BHL,48,50,250,248.00,"62,000.00"
2026-03-25,15,2026032505035560,BHL,48,58,50,248.00,"12,400.00"
2026-03-25,16,2026032505035532,BHL,39,58,93,248.00,"23,064.00"
2026-03-25,17,2026032505035531,BHL,35,58,167,248.00,"41,416.00"
2026-03-25,18,2026032505035530,BHL,53,37,500,248.50,"124,250.00"
2026-03-25,19,2026032505035611,BHL,17,50,28,248.00,"6,944.00"
2026-03-25,20,2026032505035604,BHL,32,37,10,248.50,"2,485.00"
2026-03-25,21,2026032505035603,BHL,17,55,400,248.00,"99,200.00"
2026-03-25,22,2026032505035602,BHL,17,26,60,248.00,"14,880.00"
2026-03-25,23,2026032505035576,BHL,17,19,100,248.00,"24,800.00"
2026-03-25,24,2026032505035563,BHL,17,50,412,248.00,"102,176.00"
2026-03-25,25,2026032505035617,BHL,45,50,"1,000",248.00,"248,000.00"
2026-03-25,26,2026032505035616,BHL,45,50,50,248.00,"12,400.00"
