date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-02-24,1,2026022405014404,AHL,83,34,200,508.00,"101,600.00"
2026-02-24,2,2026022405014403,AHL,83,34,250,508.00,"127,000.00"
2026-02-24,3,2026022405014155,BGWT,70,42,30,745.00,"22,350.00"
2026-02-24,4,2026022405014154,BGWT,49,42,130,745.00,"96,850.00"
2026-02-24,5,2026022405014153,BGWT,33,42,30,745.10,"22,353.00"
2026-02-24,6,2026022405014152,BGWT,85,42,50,746.10,"37,305.00"
2026-02-24,7,2026022405014151,BGWT,91,42,360,746.20,"268,632.00"
2026-02-24,8,2026022405014323,BHL,57,48,161,197.20,"31,749.20"
2026-02-24,9,2026022405014322,BHL,35,48,339,197.50,"66,952.50"
2026-02-24,10,2026022405014313,BHL,35,14,200,197.50,"39,500.00"
2026-02-24,11,2026022405014312,BHL,35,50,91,197.50,"17,972.50"
2026-02-24,12,2026022405014311,BHL,35,58,20,197.40,"3,948.00"
2026-02-24,13,2026022405014310,BHL,35,16,350,197.30,"69,055.00"
2026-02-24,14,2026022405013952,BHL,57,41,100,197.10,"19,710.00"
2026-02-24,15,2026022405014285,BHL,38,16,500,197.30,"98,650.00"
2026-02-24,16,2026022405014215,BHL,57,14,475,197.20,"93,670.00"
2026-02-24,17,2026022405014083,BHL,52,14,50,197.20,"9,860.00"
2026-02-24,18,2026022405014053,BHL,63,42,10,197.30,"1,973.00"
2026-02-24,19,2026022405014050,BHL,21,50,27,197.50,"5,332.50"
2026-02-24,20,2026022405013979,BHL,63,54,20,197.30,"3,946.00"
2026-02-24,21,2026022405014171,BHPL,38,74,10,557.90,"5,579.00"
2026-02-24,22,2026022405014065,BHPL,42,34,200,557.90,"111,580.00"
2026-02-24,23,2026022405013994,BHPL,38,6,100,558.90,"55,890.00"
2026-02-24,24,2026022405013968,BHPL,34,6,10,558.90,"5,589.00"
2026-02-24,25,2026022405013967,BHPL,34,59,38,558.00,"21,204.00"
2026-02-24,26,2026022405014221,BNHC,54,42,44,339.00,"14,916.00"
2026-02-24,27,2026022405014220,BNHC,58,42,10,339.00,"3,390.00"
2026-02-24,28,2026022405014219,BNHC,49,42,40,339.00,"13,560.00"
2026-02-24,29,2026022405014062,BNHC,58,50,50,340.00,"17,000.00"
2026-02-24,30,2026022405014055,BNHC,49,58,10,339.00,"3,390.00"
2026-02-24,31,2026022405013931,BNHC,84,50,30,340.00,"10,200.00"
2026-02-24,32,2026022405014402,CHDC,25,35,100,"2,531.10","253,110.00"
2026-02-24,33,2026022405014401,CHDC,43,35,20,"2,531.20","50,624.00"
2026-02-24,34,2026022405014400,CHDC,29,35,70,"2,531.20","177,184.00"
2026-02-24,35,2026022405014399,CHDC,7,35,42,"2,531.50","106,323.00"
2026-02-24,36,2026022405014398,CHDC,60,35,10,"2,531.60","25,316.00"
2026-02-24,37,2026022405014359,CHDC,100,66,10,"2,540.00","25,400.00"
2026-02-24,38,2026022405014187,CHDC,7,38,50,"2,531.50","126,575.00"
2026-02-24,39,2026022405014186,CHDC,100,38,50,"2,538.00","126,900.00"
2026-02-24,40,2026022405014170,CHDC,100,45,100,"2,538.00","253,800.00"
2026-02-24,41,2026022405014169,CHDC,100,57,50,"2,537.90","126,895.00"
