date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-02-24,42,2026022405014122,CHDC,60,57,50,"2,537.90","126,895.00"
2026-02-24,43,2026022405014118,CHDC,7,38,100,"2,531.50","253,150.00"
2026-02-24,44,2026022405014358,CHDC,100,56,70,"2,539.00","177,730.00"
2026-02-24,45,2026022405014357,CHDC,100,38,20,"2,535.00","50,700.00"
2026-02-24,46,2026022405014287,CHDC,45,56,10,"2,539.00","25,390.00"
2026-02-24,47,2026022405014279,CHDC,60,56,10,"2,539.00","25,390.00"
2026-02-24,48,2026022405014236,CHDC,57,66,10,"2,540.00","25,400.00"
2026-02-24,49,2026022405014217,CHDC,55,66,10,"2,540.00","25,400.00"
2026-02-24,50,2026022405014332,CLI,77,21,500,462.00,"231,000.00"
2026-02-24,51,2026022405014291,CLI,29,21,25,462.00,"11,550.00"
2026-02-24,52,2026022405014161,CLI,77,21,464,462.00,"214,368.00"
2026-02-24,53,2026022405014160,CLI,77,21,100,462.00,"46,200.00"
2026-02-24,54,2026022405014159,CLI,77,21,13,462.00,"6,006.00"
2026-02-24,55,2026022405014158,CLI,77,42,200,461.00,"92,200.00"
2026-02-24,56,2026022405014157,CLI,77,58,200,461.00,"92,200.00"
2026-02-24,57,2026022405014156,CLI,77,33,13,460.00,"5,980.00"
2026-02-24,58,2026022405013929,DOLTI,29,25,100,505.10,"50,510.00"
2026-02-24,59,2026022405014408,DORDI,32,91,10,275.50,"2,755.00"
2026-02-24,60,2026022405014250,DORDI,55,91,10,275.50,"2,755.00"
2026-02-24,61,2026022405014244,DORDI,38,26,11,275.00,"3,025.00"
2026-02-24,62,2026022405014229,DORDI,7,26,189,275.00,"51,975.00"
2026-02-24,63,2026022405014228,DORDI,7,26,11,275.00,"3,025.00"
2026-02-24,64,2026022405014356,EHPL,21,88,20,406.30,"8,126.00"
2026-02-24,65,2026022405014331,EHPL,16,38,100,409.00,"40,900.00"
2026-02-24,66,2026022405014321,EHPL,63,38,10,409.00,"4,090.00"
2026-02-24,67,2026022405014090,ENL,80,14,40,903.00,"36,120.00"
2026-02-24,68,2026022405014309,GCIL,38,26,90,412.00,"37,080.00"
2026-02-24,69,2026022405014041,GCIL,49,91,11,412.00,"4,532.00"
2026-02-24,70,2026022405014040,GCIL,49,55,123,412.00,"50,676.00"
2026-02-24,71,2026022405014047,GCIL,49,25,11,412.00,"4,532.00"
2026-02-24,72,2026022405014046,GCIL,49,57,34,412.00,"14,008.00"
2026-02-24,73,2026022405014045,GCIL,49,58,11,412.00,"4,532.00"
2026-02-24,74,2026022405014044,GCIL,49,56,11,412.00,"4,532.00"
2026-02-24,75,2026022405014043,GCIL,49,25,11,412.00,"4,532.00"
2026-02-24,76,2026022405014042,GCIL,49,35,23,412.00,"9,476.00"
2026-02-24,77,2026022405014048,GCIL,49,4,11,412.00,"4,532.00"
2026-02-24,78,2026022405014227,GCIL,52,26,10,412.00,"4,120.00"
2026-02-24,79,2026022405014185,GVL,45,1,137,482.10,"66,047.70"
2026-02-24,80,2026022405014162,HATHY,10,42,19,895.00,"17,005.00"
2026-02-24,81,2026022405013958,HATHY,55,42,31,892.30,"27,661.30"
2026-02-24,82,2026022405013957,HATHY,48,42,108,893.00,"96,444.00"
2026-02-24,83,2026022405013956,HATHY,42,42,83,893.00,"74,119.00"
2026-02-24,84,2026022405013955,HATHY,58,42,20,893.50,"17,870.00"
2026-02-24,85,2026022405013954,HATHY,22,42,18,893.50,"16,083.00"
2026-02-24,86,2026022405014260,HDL,57,52,80,"1,135.40","90,832.00"
2026-02-24,87,2026022405013980,HDL,46,42,7,"1,136.00","7,952.00"
2026-02-24,88,2026022405013976,HDL,29,14,32,"1,137.00","36,384.00"
2026-02-24,89,2026022405013991,HDL,16,52,100,"1,136.10","113,610.00"
2026-02-24,90,2026022405014093,HDL,49,45,342,"1,136.00","388,512.00"
2026-02-24,91,2026022405014092,HDL,84,45,200,"1,136.10","227,220.00"
2026-02-24,92,2026022405014091,HDL,16,45,90,"1,136.10","102,249.00"
2026-02-24,93,2026022405014085,HDL,16,14,190,"1,136.10","215,859.00"
2026-02-24,94,2026022405014084,HDL,4,14,10,"1,136.20","11,362.00"
2026-02-24,95,2026022405014259,HDL,42,52,20,"1,136.00","22,720.00"
2026-02-24,96,2026022405014126,HDL,29,13,50,"1,136.00","56,800.00"
2026-02-24,97,2026022405014125,HDL,54,13,26,"1,136.00","29,536.00"
2026-02-24,98,2026022405014124,HDL,21,13,118,"1,136.00","134,048.00"
2026-02-24,99,2026022405014094,HDL,21,45,68,"1,136.00","77,248.00"
2026-02-24,100,2026022405014267,HHL,33,7,100,333.00,"33,300.00"
2026-02-24,101,2026022405014127,HHL,88,33,100,333.20,"33,320.00"
2026-02-24,102,2026022405014052,HHL,51,7,330,333.50,"110,055.00"
2026-02-24,103,2026022405013921,HHL,51,38,10,333.10,"3,331.00"
2026-02-24,104,2026022405014330,HIDCL,52,49,10,259.90,"2,599.00"
2026-02-24,105,2026022405014328,HIDCL,62,49,10,259.90,"2,599.00"
2026-02-24,106,2026022405014258,HIDCL,38,49,933,260.00,"242,580.00"
2026-02-24,107,2026022405014257,HIDCL,38,58,30,260.00,"7,800.00"
2026-02-24,108,2026022405014256,HIDCL,38,17,37,260.00,"9,620.00"
2026-02-24,109,2026022405014214,HIDCL,40,92,450,258.20,"116,190.00"
2026-02-24,110,2026022405014150,HIDCL,6,38,50,259.50,"12,975.00"
2026-02-24,111,2026022405013949,HIDCL,6,42,100,259.50,"25,950.00"
2026-02-24,112,2026022405014213,HIDCL,42,92,300,258.20,"77,460.00"
2026-02-24,113,2026022405014212,HIDCL,53,92,50,258.50,"12,925.00"
2026-02-24,114,2026022405014211,HIDCL,45,92,100,259.00,"25,900.00"
2026-02-24,115,2026022405014210,HIDCL,38,92,"1,000",259.00,"259,000.00"
2026-02-24,116,2026022405014209,HIDCL,38,92,100,259.00,"25,900.00"
2026-02-24,117,2026022405014179,HIDCL,4,6,250,259.00,"64,750.00"
2026-02-24,118,2026022405014368,HRL,42,49,269,833.00,"224,077.00"
2026-02-24,119,2026022405014367,HRL,11,49,36,833.00,"29,988.00"
2026-02-24,120,2026022405014366,HRL,57,49,209,833.00,"174,097.00"
2026-02-24,121,2026022405014348,HRL,57,1,200,833.00,"166,600.00"
2026-02-24,122,2026022405013992,HRL,58,81,15,833.20,"12,498.00"
2026-02-24,123,2026022405013982,HRL,28,11,238,834.00,"198,492.00"
2026-02-24,124,2026022405013962,HRL,58,62,10,833.20,"8,332.00"
2026-02-24,125,2026022405013961,HRL,38,62,190,833.30,"158,327.00"
2026-02-24,126,2026022405013922,HRL,51,11,200,834.00,"166,800.00"
2026-02-24,127,2026022405014174,HRL,57,25,37,833.00,"30,821.00"
2026-02-24,128,2026022405014106,HRL,57,53,63,833.00,"52,479.00"
2026-02-24,129,2026022405014105,HRL,34,53,121,833.00,"100,793.00"
2026-02-24,130,2026022405014104,HRL,45,53,100,833.00,"83,300.00"
2026-02-24,131,2026022405014103,HRL,66,53,116,833.10,"96,639.60"
2026-02-24,132,2026022405013993,HRL,62,81,85,833.20,"70,822.00"
2026-02-24,133,2026022405014306,HRL,57,98,21,833.00,"17,493.00"
2026-02-24,134,2026022405014242,HRL,57,3,21,833.00,"17,493.00"
2026-02-24,135,2026022405014184,HRL,99,11,300,834.00,"250,200.00"
2026-02-24,136,2026022405014177,HRL,57,25,49,833.00,"40,817.00"
2026-02-24,137,2026022405014176,HRL,42,25,50,833.00,"41,650.00"
2026-02-24,138,2026022405014175,HRL,45,25,50,833.00,"41,650.00"
2026-02-24,139,2026022405014389,IHL,64,77,10,519.00,"5,190.00"
2026-02-24,140,2026022405014238,IHL,26,57,150,518.00,"77,700.00"
2026-02-24,141,2026022405014067,IHL,42,29,10,513.00,"5,130.00"
2026-02-24,142,2026022405014066,IHL,38,29,25,515.00,"12,875.00"
2026-02-24,143,2026022405014241,IHL,16,57,100,512.00,"51,200.00"
2026-02-24,144,2026022405014240,IHL,43,57,300,512.00,"153,600.00"
2026-02-24,145,2026022405014239,IHL,58,57,400,512.20,"204,880.00"
2026-02-24,146,2026022405014324,ILI,42,58,10,435.00,"4,350.00"
2026-02-24,147,2026022405014218,ILI,14,58,57,435.00,"24,795.00"
2026-02-24,148,2026022405014178,ILI,42,98,12,434.00,"5,208.00"
2026-02-24,149,2026022405014149,MAKAR,14,49,10,527.10,"5,271.00"
2026-02-24,150,2026022405014069,MAKAR,14,98,10,527.10,"5,271.00"
2026-02-24,151,2026022405014391,MANDU,43,91,10,811.00,"8,110.00"
2026-02-24,152,2026022405014390,MANDU,43,70,10,810.00,"8,100.00"
2026-02-24,153,2026022405014167,MANDU,4,65,100,801.00,"80,100.00"
2026-02-24,154,2026022405014049,MANDU,34,42,10,809.90,"8,099.00"
2026-02-24,155,2026022405014415,MBJC,82,81,580,285.90,"165,822.00"
2026-02-24,156,2026022405014414,MBJC,82,34,120,285.80,"34,296.00"
2026-02-24,157,2026022405014270,MBJC,26,81,851,285.90,"243,300.90"
2026-02-24,158,2026022405014269,MBJC,26,50,90,285.00,"25,650.00"
2026-02-24,159,2026022405014165,MBJC,16,41,10,284.30,"2,843.00"
2026-02-24,160,2026022405014096,MBJC,58,52,10,286.00,"2,860.00"
2026-02-24,161,2026022405014095,MBJC,58,39,40,285.00,"11,400.00"
2026-02-24,162,2026022405014409,MCHL,17,48,15,413.00,"6,195.00"
2026-02-24,163,2026022405014406,MEHL,42,26,10,436.40,"4,364.00"
2026-02-24,164,2026022405014281,MEHL,25,26,10,436.40,"4,364.00"
2026-02-24,165,2026022405014202,MEHL,67,41,100,434.00,"43,400.00"
2026-02-24,166,2026022405014123,MEHL,42,26,10,436.40,"4,364.00"
2026-02-24,167,2026022405014077,MEHL,38,1,23,432.80,"9,954.40"
2026-02-24,168,2026022405014076,MEHL,62,1,40,433.00,"17,320.00"
2026-02-24,169,2026022405014075,MEHL,6,1,100,433.50,"43,350.00"
2026-02-24,170,2026022405014074,MEHL,63,1,27,433.60,"11,707.20"
2026-02-24,171,2026022405014338,MEL,53,45,30,282.00,"8,460.00"
2026-02-24,172,2026022405014320,MEL,55,45,100,282.00,"28,200.00"
2026-02-24,173,2026022405013983,MEL,35,98,10,280.10,"2,801.00"
2026-02-24,174,2026022405014114,MHCL,16,65,69,343.00,"23,667.00"
2026-02-24,175,2026022405014113,MHCL,6,65,12,343.20,"4,118.40"
2026-02-24,176,2026022405014112,MHCL,48,65,109,343.30,"37,419.70"
2026-02-24,177,2026022405014111,MHCL,49,65,40,343.40,"13,736.00"
2026-02-24,178,2026022405014110,MHCL,21,65,170,344.00,"58,480.00"
2026-02-24,179,2026022405014024,MHCL,21,10,20,344.00,"6,880.00"
2026-02-24,180,2026022405013977,MHCL,21,22,100,344.00,"34,400.00"
2026-02-24,181,2026022405014286,MHL,19,34,10,522.00,"5,220.00"
2026-02-24,182,2026022405014225,MHL,3,21,650,522.10,"339,365.00"
2026-02-24,183,2026022405014224,MHL,3,38,350,522.00,"182,700.00"
2026-02-24,184,2026022405014192,MHL,96,38,10,522.00,"5,220.00"
2026-02-24,185,2026022405013978,MHL,3,34,500,522.00,"261,000.00"
2026-02-24,186,2026022405014417,MKHC,58,39,120,315.80,"37,896.00"
2026-02-24,187,2026022405014268,MKHC,58,41,100,315.80,"31,580.00"
2026-02-24,188,2026022405014252,MKHC,54,92,950,315.00,"299,250.00"
2026-02-24,189,2026022405014251,MKHC,58,92,450,315.00,"141,750.00"
2026-02-24,190,2026022405014183,MKHC,58,22,50,315.00,"15,750.00"
2026-02-24,191,2026022405014360,MKJC,35,71,200,527.50,"105,500.00"
2026-02-24,192,2026022405014173,MKJC,58,54,235,528.00,"124,080.00"
2026-02-24,193,2026022405014172,MKJC,58,54,205,528.00,"108,240.00"
2026-02-24,194,2026022405013920,MMKJL,58,46,10,558.30,"5,583.00"
2026-02-24,195,2026022405014405,MSHL,45,49,10,802.00,"8,020.00"
2026-02-24,196,2026022405013953,MSHL,45,4,10,793.00,"7,930.00"
2026-02-24,197,2026022405014280,NICSF,52,41,"5,800",9.10,"52,780.00"
2026-02-24,198,2026022405014201,NIFRA,49,38,54,257.80,"13,921.20"
2026-02-24,199,2026022405014064,NIFRA,49,56,64,257.80,"16,499.20"
2026-02-24,200,2026022405014038,NIFRA,49,29,64,257.80,"16,499.20"
2026-02-24,201,2026022405013975,NIFRA,49,7,42,257.80,"10,827.60"
2026-02-24,202,2026022405013974,NIFRA,34,7,22,258.00,"5,676.00"
2026-02-24,203,2026022405013943,NIFRA,26,35,29,259.00,"7,511.00"
2026-02-24,204,2026022405014392,NRIC,42,45,10,"1,220.00","12,200.00"
2026-02-24,205,2026022405014294,NRIC,28,45,100,"1,220.00","122,000.00"
2026-02-24,206,2026022405014266,NRIC,52,45,100,"1,220.00","122,000.00"
2026-02-24,207,2026022405014265,NRIC,49,45,50,"1,220.00","61,000.00"
2026-02-24,208,2026022405014264,NRIC,17,45,10,"1,220.00","12,200.00"
2026-02-24,209,2026022405014121,NRIC,17,45,61,"1,220.00","74,420.00"
2026-02-24,210,2026022405014120,NRIC,86,45,50,"1,222.00","61,100.00"
2026-02-24,211,2026022405014022,NRIC,17,21,369,"1,220.00","450,180.00"
2026-02-24,212,2026022405014021,NRIC,34,21,100,"1,221.00","122,100.00"
2026-02-24,213,2026022405014020,NRIC,43,21,258,"1,222.00","315,276.00"
2026-02-24,214,2026022405013950,NRIC,43,1,42,"1,222.00","51,324.00"
2026-02-24,215,2026022405014109,NRM,57,59,494,420.00,"207,480.00"
2026-02-24,216,2026022405014108,NRM,57,49,40,420.00,"16,800.00"
2026-02-24,217,2026022405014107,NRM,57,58,76,419.00,"31,844.00"
2026-02-24,218,2026022405014080,NRM,3,58,20,419.00,"8,380.00"
2026-02-24,219,2026022405013966,NRM,34,58,230,419.00,"96,370.00"
2026-02-24,220,2026022405013948,NRM,35,49,150,420.00,"63,000.00"
2026-02-24,221,2026022405014412,NRN,62,52,200,"1,504.20","300,840.00"
2026-02-24,222,2026022405014411,NRN,38,52,300,"1,505.00","451,500.00"
2026-02-24,223,2026022405014410,NRN,58,52,500,"1,505.00","752,500.00"
2026-02-24,224,2026022405014298,NRN,36,56,100,"1,506.00","150,600.00"
2026-02-24,225,2026022405013985,NRN,91,52,203,"1,505.00","305,515.00"
2026-02-24,226,2026022405013981,NRN,91,58,200,"1,505.00","301,000.00"
2026-02-24,227,2026022405014003,NRN,60,52,10,"1,509.00","15,090.00"
2026-02-24,228,2026022405014002,NRN,60,16,100,"1,509.00","150,900.00"
2026-02-24,229,2026022405013988,NRN,62,52,47,"1,504.20","70,697.40"
2026-02-24,230,2026022405013987,NRN,34,52,500,"1,504.30","752,150.00"
2026-02-24,231,2026022405013986,NRN,7,52,250,"1,504.40","376,100.00"
2026-02-24,232,2026022405014009,NRN,60,52,"1,000","1,511.40","1,511,400.00"
2026-02-24,233,2026022405014008,NRN,60,45,30,"1,511.20","45,336.00"
2026-02-24,234,2026022405014007,NRN,60,38,43,"1,511.00","64,973.00"
2026-02-24,235,2026022405014006,NRN,60,75,400,"1,510.00","604,000.00"
2026-02-24,236,2026022405014005,NRN,60,54,10,"1,510.00","15,100.00"
2026-02-24,237,2026022405014004,NRN,60,7,19,"1,509.90","28,688.10"
2026-02-24,238,2026022405014015,NRN,60,72,40,"1,520.00","60,800.00"
2026-02-24,239,2026022405014014,NRN,60,41,11,"1,518.00","16,698.00"
2026-02-24,240,2026022405014013,NRN,60,58,50,"1,515.00","75,750.00"
2026-02-24,241,2026022405014012,NRN,60,54,10,"1,515.00","15,150.00"
2026-02-24,242,2026022405014011,NRN,60,33,84,"1,513.00","127,092.00"
2026-02-24,243,2026022405014010,NRN,60,45,34,"1,513.00","51,442.00"
2026-02-24,244,2026022405014019,NRN,60,28,22,"1,521.00","33,462.00"
2026-02-24,245,2026022405014018,NRN,60,56,50,"1,520.00","76,000.00"
2026-02-24,246,2026022405014017,NRN,60,66,50,"1,520.00","76,000.00"
2026-02-24,247,2026022405014016,NRN,60,6,37,"1,520.00","56,240.00"
2026-02-24,248,2026022405014305,NTC,4,21,30,853.00,"25,590.00"
2026-02-24,249,2026022405014304,NTC,58,21,20,853.00,"17,060.00"
2026-02-24,250,2026022405014098,NTC,32,16,53,854.00,"45,262.00"
2026-02-24,251,2026022405014097,NTC,57,16,45,854.00,"38,430.00"
2026-02-24,252,2026022405014383,NYADI,34,35,45,397.80,"17,901.00"
2026-02-24,253,2026022405014382,NYADI,34,45,29,397.80,"11,536.20"
2026-02-24,254,2026022405014381,NYADI,34,48,126,395.00,"49,770.00"
2026-02-24,255,2026022405014117,NYADI,34,37,75,393.60,"29,520.00"
2026-02-24,256,2026022405014116,NYADI,41,37,100,394.00,"39,400.00"
2026-02-24,257,2026022405014115,NYADI,1,37,25,394.10,"9,852.50"
2026-02-24,258,2026022405013919,NYADI,29,48,50,395.00,"19,750.00"
2026-02-24,259,2026022405014262,PHCL,26,14,50,286.80,"14,340.00"
2026-02-24,260,2026022405014226,PHCL,17,34,500,286.70,"143,350.00"
2026-02-24,261,2026022405014222,PHCL,13,48,500,285.40,"142,700.00"
2026-02-24,262,2026022405014073,PHCL,13,34,18,285.40,"5,137.20"
2026-02-24,263,2026022405013951,PHCL,6,14,300,286.80,"86,040.00"
2026-02-24,264,2026022405013942,PHCL,88,60,159,285.00,"45,315.00"
2026-02-24,265,2026022405013935,PHCL,17,60,500,285.00,"142,500.00"
2026-02-24,266,2026022405013934,PHCL,48,60,701,285.30,"199,995.30"
2026-02-24,267,2026022405013933,PHCL,36,60,10,286.70,"2,867.00"
2026-02-24,268,2026022405013941,PHCL,58,60,50,285.00,"14,250.00"
2026-02-24,269,2026022405013940,PHCL,45,60,200,285.00,"57,000.00"
2026-02-24,270,2026022405013939,PHCL,29,60,10,285.00,"2,850.00"
2026-02-24,271,2026022405013938,PHCL,45,60,50,285.00,"14,250.00"
2026-02-24,272,2026022405013937,PHCL,26,60,20,285.00,"5,700.00"
2026-02-24,273,2026022405013936,PHCL,52,60,300,285.00,"85,500.00"
2026-02-24,274,2026022405014413,PPL,39,56,10,378.00,"3,780.00"
2026-02-24,275,2026022405014271,PPL,39,56,10,378.00,"3,780.00"
2026-02-24,276,2026022405014200,PPL,77,38,490,375.60,"184,044.00"
2026-02-24,277,2026022405014199,PPL,38,38,200,375.70,"75,140.00"
2026-02-24,278,2026022405014198,PPL,17,38,500,375.80,"187,900.00"
2026-02-24,279,2026022405014086,PPL,39,38,10,377.00,"3,770.00"
2026-02-24,280,2026022405013947,PPL,19,38,388,375.20,"145,577.60"
2026-02-24,281,2026022405013946,PPL,46,38,112,375.20,"42,022.40"
2026-02-24,282,2026022405013945,PPL,38,38,100,375.30,"37,530.00"
2026-02-24,283,2026022405014364,RAWA,6,52,51,720.00,"36,720.00"
2026-02-24,284,2026022405014363,RAWA,6,52,200,715.00,"143,000.00"
2026-02-24,285,2026022405014362,RAWA,6,52,300,710.00,"213,000.00"
2026-02-24,286,2026022405014361,RAWA,6,32,99,709.90,"70,280.10"
2026-02-24,287,2026022405014388,RFPL,58,43,10,387.90,"3,879.00"
2026-02-24,288,2026022405014387,RFPL,58,52,20,387.00,"7,740.00"
2026-02-24,289,2026022405014386,RFPL,58,55,20,387.00,"7,740.00"
2026-02-24,290,2026022405014385,RFPL,58,35,20,386.00,"7,720.00"
2026-02-24,291,2026022405014182,RFPL,58,55,10,387.00,"3,870.00"
2026-02-24,292,2026022405014181,RFPL,58,7,15,386.00,"5,790.00"
2026-02-24,293,2026022405014054,RFPL,58,7,60,386.00,"23,160.00"
2026-02-24,294,2026022405014051,RFPL,58,58,20,386.00,"7,720.00"
2026-02-24,295,2026022405014001,RFPL,58,55,10,387.00,"3,870.00"
2026-02-24,296,2026022405013959,RFPL,58,49,20,386.00,"7,720.00"
2026-02-24,297,2026022405014235,RHGCL,6,32,10,269.00,"2,690.00"
2026-02-24,298,2026022405014234,RHGCL,6,49,70,268.90,"18,823.00"
2026-02-24,299,2026022405014233,RHGCL,6,58,20,268.50,"5,370.00"
2026-02-24,300,2026022405014232,RHGCL,6,58,10,268.00,"2,680.00"
2026-02-24,301,2026022405014231,RHGCL,6,53,40,268.00,"10,720.00"
2026-02-24,302,2026022405014102,RHGCL,35,3,63,267.10,"16,827.30"
2026-02-24,303,2026022405014101,RHGCL,57,3,130,267.20,"34,736.00"
2026-02-24,304,2026022405014100,RHGCL,14,3,200,267.50,"53,500.00"
2026-02-24,305,2026022405014099,RHGCL,57,3,"1,419",267.60,"379,724.40"
2026-02-24,306,2026022405013944,RHGCL,14,38,100,267.50,"26,750.00"
2026-02-24,307,2026022405014230,SAHAS,77,35,60,557.00,"33,420.00"
2026-02-24,308,2026022405014168,SAHAS,41,35,100,557.00,"55,700.00"
2026-02-24,309,2026022405014078,SAHAS,58,55,3,555.00,"1,665.00"
2026-02-24,310,2026022405014072,SAHAS,94,35,185,557.00,"103,045.00"
2026-02-24,311,2026022405014071,SAHAS,38,35,32,557.00,"17,824.00"
2026-02-24,312,2026022405014070,SAHAS,17,35,10,557.00,"5,570.00"
2026-02-24,313,2026022405013928,SAHAS,75,74,10,557.00,"5,570.00"
2026-02-24,314,2026022405013927,SAHAS,75,56,21,557.00,"11,697.00"
2026-02-24,315,2026022405013926,SAHAS,75,35,"5,000",557.00,"2,785,000.00"
2026-02-24,316,2026022405013925,SAHAS,75,35,"5,000",557.00,"2,785,000.00"
2026-02-24,317,2026022405013924,SAHAS,75,41,253,557.00,"140,921.00"
2026-02-24,318,2026022405013923,SAHAS,75,35,"2,303",557.00,"1,282,771.00"
2026-02-24,319,2026022405014333,SANVI,74,38,10,808.00,"8,080.00"
2026-02-24,320,2026022405014329,SANVI,49,38,32,808.00,"25,856.00"
2026-02-24,321,2026022405014307,SANVI,16,38,500,808.00,"404,000.00"
2026-02-24,322,2026022405014255,SANVI,48,38,20,808.00,"16,160.00"
2026-02-24,323,2026022405014254,SANVI,95,38,142,808.10,"114,750.20"
2026-02-24,324,2026022405014253,SANVI,49,38,20,808.50,"16,170.00"
2026-02-24,325,2026022405014148,SANVI,95,66,290,808.10,"234,349.00"
2026-02-24,326,2026022405014147,SANVI,68,66,110,808.20,"88,902.00"
2026-02-24,327,2026022405014056,SANVI,68,41,160,808.20,"129,312.00"
2026-02-24,328,2026022405013990,SANVI,68,37,30,808.20,"24,246.00"
2026-02-24,329,2026022405013989,SANVI,95,37,70,808.30,"56,581.00"
2026-02-24,330,2026022405014416,SGHC,42,57,200,400.00,"80,000.00"
2026-02-24,331,2026022405014395,SGHC,42,7,10,400.00,"4,000.00"
2026-02-24,332,2026022405014394,SGHC,42,4,10,400.00,"4,000.00"
2026-02-24,333,2026022405014393,SGHC,42,65,50,400.00,"20,000.00"
2026-02-24,334,2026022405014197,SGHC,58,68,50,399.80,"19,990.00"
2026-02-24,335,2026022405014196,SGHC,45,68,20,400.00,"8,000.00"
2026-02-24,336,2026022405014195,SGHC,45,68,20,400.00,"8,000.00"
2026-02-24,337,2026022405014194,SGHC,49,68,10,400.00,"4,000.00"
2026-02-24,338,2026022405014193,SGHC,49,68,100,402.00,"40,200.00"
2026-02-24,339,2026022405014189,SGHC,49,42,60,402.00,"24,120.00"
2026-02-24,340,2026022405014188,SGHC,49,95,40,402.00,"16,080.00"
2026-02-24,341,2026022405014089,SGHC,22,95,10,402.00,"4,020.00"
2026-02-24,342,2026022405014337,SHIVM,80,44,165,611.80,"100,947.00"
2026-02-24,343,2026022405014336,SHIVM,80,74,300,611.50,"183,450.00"
2026-02-24,344,2026022405014335,SHIVM,80,21,135,609.50,"82,282.50"
2026-02-24,345,2026022405014301,SHIVM,101,21,388,609.50,"236,486.00"
2026-02-24,346,2026022405014300,SHIVM,101,42,800,609.00,"487,200.00"
2026-02-24,347,2026022405014299,SHIVM,101,40,12,609.00,"7,308.00"
2026-02-24,348,2026022405013963,SHIVM,25,22,48,610.00,"29,280.00"
2026-02-24,349,2026022405014249,SHIVM,25,53,160,608.20,"97,312.00"
2026-02-24,350,2026022405014248,SHIVM,39,53,100,608.20,"60,820.00"
2026-02-24,351,2026022405014247,SHIVM,44,53,300,608.30,"182,490.00"
2026-02-24,352,2026022405014079,SHIVM,20,21,212,609.50,"129,214.00"
2026-02-24,353,2026022405013965,SHIVM,20,22,142,609.50,"86,549.00"
2026-02-24,354,2026022405013964,SHIVM,1,22,10,610.00,"6,100.00"
