ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:3,2433363.67,100.00,2021-10-11,2021-11-15,,NIBL Ace Capital
2:1,1922813.00,100.00,2017-10-03,2017-11-06,,Ace Capital Ltd.
4:1.037,525000.00,100.00,2016-01-20,2016-02-23,,Ace Capital Ltd.
