ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:2.81,5901000.00,100.00,2018-08-20,2018-10-09,,Sunrise Capital Ltd
4:3,900000.00,100.00,2015-08-01,2015-09-05,,Growmore Merchant Banker Ltd.
