fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,15.00,5.00,20.00,2023-03-01 [Closed]
2077/2078,20.00,7.3684,27.3684,2021-11-16 [Closed]
2076/2077,15.00,8.16,23.16,2021-01-01 [Closed]
2075/2076,15.00,11.32,26.32,2019-11-27 [Closed]
2074/2075,0.00,26.32,26.32,2018-12-05 [Closed]
2073/2074,10.00,16.32,26.32,2017-11-09 [Closed]
2072/2073,0.00,10.53,10.53,2016-12-29 [Closed]
2071/2072,10.00,0.53,10.53,2015-12-25 [Closed]
