fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,10.5263,10.5263,2025-12-26 [Closed]
2080/2081,,21.0526,21.0526,2025-02-27 [Closed]
2079/2080,25.00,1.3158,26.3158,2024-05-27 [Closed]
