ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:3.4783,6576967.76,100.00,2025-07-22,2025-08-18,,NIMB Ace Capital Limited
1:0.65,4014651.58,100.00,2019-03-05,2019-04-08,,Global IME Capital Limited
1:1,3019886.10,100.00,2018-04-17,2018-05-21,,NIBL Capital Market Ltd.
1:1,1319016.00,100.00,2014-04-14,2014-06-17,,Growmore Merchant Banking Ltd.
