ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
2:1,2281313.00,100.00,2018-03-01,2018-04-05,,Global IME Capital Limited
2:1,1322500.00,100.00,2017-05-10,2017-06-13,,Global IME Capital Limited
1:1,1000000.00,100.00,2015-02-26,2015-04-01,,Nabil Investment Banking Ltd.
