ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:1,6826117.00,100.00,2018-02-13,2018-03-19,,Laxmi Capital Market Limited
10:3,15752578.00,100.00,2017-06-07,2017-07-11,,Laxmi Capital Market Ltd
4:1,7555193.00,100.00,2016-10-26,2016-11-29,,Laxmi Capital Market Ltd.
