ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
100:23.74,15431840.00,100.00,2017-04-19,2017-05-23,,Civil Capital Market lImited
1:9.5157,36196176.00,100.00,2013-05-22,2013-06-25,,Civil Capital Market Ltd. and Citizens Investment Trust
