fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,0.2632,5.2632,2026-01-02 [Closed]
2080/2081,5.00,0.2632,5.2632,2025-02-06 [Closed]
2079/2080,5.4222,0.2854,5.7076,2024-04-01 [Closed]
2078/2079,15.00,3.00,18.00,2023-03-15 [Closed]
2077/2078,20.00,5.00,25.00,2021-12-10 [Closed]
2076/2077,20.00,6.32,26.32,2020-12-20 [Closed]
2075/2076,5.00,5.5263,10.5263,2020-01-04 [Closed]
2074/2075,6.66,7.36,14.02,2018-11-28 [Closed]
2073/2074,20.00,11.58,31.58,2017-11-17 [Closed]
