ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:2,1213440.00,100.00,2019-10-14,2019-11-17,,NIBL ACE Capital Limited
2:1,189600.00,100.00,2018-07-11,2018-08-14,,NIBL ACE Capital Ltd
