fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,13.00,13.00,2026-01-02 [Closed]
2080/2081,,20.00,20.00,2024-12-06 [Closed]
2079/2080,10.26,24.74,35.00,2024-04-19 [Closed]
