fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,1.5,2.00,3.5,2025-12-23 [Closed]
2080/2081,0.00,5.25,5.25,2024-12-27 [Closed]
2079/2080,,5.263,5.263,2024-01-03 [Closed]
2078/2079,5.00,0.263,5.263,2022-12-29 [Closed]
2077/2078,8.00,0.421,8.421,2021-12-20 [Closed]
2075/2076,0.00,12.00,12.00,2020-01-02 [Closed]
2074/2075,10.00,0.00,10.00,2019-01-01 [Closed]
2073/2074,0.00,5.00,5.00,2017-12-27 [Closed]
2072/2073,0.00,5.00,5.00,2017-01-01 [Closed]
