ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
5:3,2159700.00,100.00,2018-06-30,2018-08-05,,NIBL ACE Capital Ltd.
1:2,2300000.00,100.00,2017-09-17,2017-11-05,,NIBL Capital Market Ltd
