ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1: 0.40,16533137.00,100.00,2023-08-16,2023-09-05,,Muktinath Capital Limited
1: 0.3936,10860000.00,100.00,2022-04-08,2022-04-28,,Muktinath Capital Ltd.
1:0.2938,5670000.00,100.00,2021-06-03,2021-06-27,,Muktinath Capital Ltd.
1:0.47619047619,5670000.00,100.00,2020-10-30,2020-11-19,,Siddhartha Capital Limited
