ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:0.46,3166678.00,100.00,2018-06-21,2018-07-26,,Prabhu Capital Ltd.
2:1,1925079.00,100.00,2017-04-11,2017-05-15,,Prabhu Capital Limited
