ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:1,1104575.00,100.00,2019-08-06,2019-09-09,,Global IME Capital Limited
2:1,282500.00,100.00,2017-07-08,2017-08-12,,Civil Capital Market Ltd.
