fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,14.00,6.00,20.00,2025-10-07 [Closed]
2080/2081,4.00,10.7368,14.7368,2024-09-18 [Closed]
2079/2080,,10.5263,10.5263,2023-12-21 [Closed]
