ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:1,5358150.00,100.00,2025-07-15,2025-08-19,,RBB Merchant Banking Limited
1:1,2679075.00,100.00,2022-08-22,2022-09-16,,RBB Merchant Banking Limited
