ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:1.5,2430093.75,100.00,2019-11-10,2019-12-15,,Sunrise Capital Limited
1:1.20,552000.00,100.00,2016-11-20,2016-12-25,,Laxmi Capital Market Limited
