fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,6.5,0.34,6.84,2023-07-05 [Closed]
2077/2078,15.00,0.79,15.79,2022-01-04 [Closed]
2076/2077,10.00,0.53,10.53,2021-04-23 [Closed]
2075/2076,0.00,6.58,6.58,2020-02-11 [Closed]
2074/2075,0.00,2.63,2.63,2019-05-27 [Closed]
2073/2074,12.00,0.63,12.63,2019-05-27 [Closed]
2072/2073,15.00,0.79,15.79,2016-12-26 [Closed]
2071/2072,20.00,1.05,21.05,2016-05-22 [Closed]
