ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
2:1,329890.00,100.00,2019-01-31,2019-03-13,,Kathmandu Capital Market Limited
2:1,169740.00,16974000.00,2016-08-02,2016-09-05,,Civil Capital Markets Ltd.
