ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
100:15,8729475.00,100.00,2017-03-28,2017-05-01,,Civil Capital Markets Ltd.
4:1,9237540.00,100.00,2016-05-25,2016-06-28,,Civil Capital Market Ltd.
