fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2079/2080,29.00,1.52,30.52,2023-10-03 [Closed]
2076/2077,19.00,1.00,20.00,2020-11-25 [Closed]
2075/2076,10.00,11.05,21.05,2019-09-15 [Closed]
2074/2075,10.00,0.526,10.526,2018-12-05 [Closed]
2073/2074,20.00,1.05,21.05,2017-09-01 [Closed]
2072/2073,26.00,1.37,27.37,2016-09-21 [Closed]
2071/2072,39.00,2.05,41.05,2016-01-10 [Closed]
2070/2071,15.00,15.00,30.00,2014-12-15 [Closed]
2069/2070,0.00,20.00,20.00,2014-02-05 [Closed]
