fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,10.178,10.178,2025-12-26 [Closed]
2080/2081,1.2489,8.00,9.2489,2025-03-10 [Closed]
2079/2080,18.3811,,18.3811,2024-09-27 [Closed]
