ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:1,1224978.00,100.00,2018-07-28,2018-09-02,,NMB Capital Limited
100:50,349994.00,100.00,2017-06-14,2017-07-18,,NMB Capital Limited
1:1,200000.00,100.00,2015-06-25,2015-07-29,,NMB Capital Ltd.
