ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:8,10867799.00,100.00,2017-12-31,2018-02-11,,Prabhu Capital Limited
4:1,1840000.00,100.00,2016-02-20,2016-03-26,,NMB Capital Ltd.
