fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,8.00,8.00,2026-01-05 [Closed]
2080/2081,,8.75,8.75,2025-02-27 [Closed]
2079/2080,8.63,6.37,15.00,2024-01-28 [Closed]
2078/2079,2.75,0.14,2.89,2023-03-17 [Closed]
