ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:2,6129520.25,100.00,2019-08-29,2019-10-02,,Vibor Capital Limited
10:4,6170865.00,100.00,2017-08-19,2017-09-23,,NIBL Capital Market Ltd.
2:1,4192164.00,100.00,2016-10-06,2016-11-09,,NIBL Capital Market Limited
4:1,918750.00,100.00,2014-11-30,2015-01-03,,Growmore Merchant Banking Ltd.
