ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:1,18512792.23,100.00,2025-01-07,2025-02-11,,Siddhartha Capital Limited
1:1.5,10603986.00,100.00,2022-08-03,2022-08-23,,Siddhartha Capital Ltd
