fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,8.00,4.00,12.00,2026-01-01 [Closed]
2080/2081,10.00,2.00,12.00,2024-12-31 [Closed]
2079/2080,10.00,5.00,15.00,2023-12-24 [Closed]
2078/2079,7.5,7.5,15.00,2022-12-18 [Closed]
2077/2078,7.5,7.5,15.00,2021-12-30 [Closed]
2076/2077,10.00,10.00,20.00,2020-12-14 [Closed]
2075/2076,20.00,5.00,25.00,2019-11-13 [Closed]
2074/2075,20.00,5.00,25.00,2019-01-03 [Closed]
2073/2074,15.00,10.00,25.00,2017-10-23 [Closed]
2072/2073,10.00,10.00,20.00,2016-12-23 [Closed]
2071/2072,15.00,12.00,27.00,2015-12-18 [Closed]
2070/2071,20.00,15.00,35.00,2014-09-23 [Closed]
2069/2070,30.00,10.00,40.00,2013-09-13 [Closed]
2068/2069,30.00,20.00,50.00,2012-09-25 [Closed]
2067/2068,40.00,30.00,70.00,2011-12-27 [Closed]
