fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,0.26,5.26,2026-01-02 [Closed]
2080/2081,4.00,0.211,4.211,2025-03-07 [Closed]
2079/2080,5.5,0.289,5.789,2024-02-16 [Closed]
2078/2079,0.00,10.526,10.526,2022-12-02 [Closed]
