ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
100:5,362190.00,100.00,2018-03-21,2018-04-24,,Ace Capital Limited
1:1.8,4386375.00,100.00,2017-01-18,2017-02-21,,Ace Capital Ltd.
