fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,5.00,7.00,12.00,2026-01-01 [Closed]
2078/2079,19.00,1.00,20.00,2023-02-14 [Closed]
2077/2078,29.5,1.5526,31.0526,2021-12-28 [Closed]
2076/2077,13.00,0.68,13.68,2021-02-23 [Closed]
2075/2076,25.00,15.53,40.53,2019-12-16 [Closed]
2074/2075,20.00,22.11,42.11,2018-11-27 [Closed]
2073/2074,66.67,14.04,80.71,2017-12-29 [Closed]
2072/2073,20.00,11.579,31.579,2016-11-15 [Closed]
2071/2072,48.81,13.1,61.91,2015-12-09 [Closed]
2070/2071,40.00,12.63,52.63,2014-12-10 [Closed]
2069/2070,20.00,11.58,30.00,2013-12-23 [Closed]
2068/2069,3.92,11.87,15.79,2013-03-22 [Closed]
2067/2068,8.00,0.421,8.421,2011-12-30 [Closed]
