ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:4,23525608.00,100.00,2018-01-20,2018-03-06,,Sunrise Capital Limited
10:2,6417770.00,100.00,2016-02-27,2016-04-02,,Nabil Investment Banking Ltd.
