ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1: 0.35,1582000.00,100.00,2023-08-27,2023-09-17,,Muktinath Capital Limited
1:8.64469,3585264.00,100.00,2019-07-08,2019-08-26,,Civil Capital Limited
