fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2077/2078,13.00,0.68,13.68,2022-01-05 [Closed]
2072/2073,12.00,,12.00,2017-06-21 [Closed]
2071/2072,15.00,,15.00,2016-03-28 [Closed]
2070/2071,12.00,,12.00,
2068/2069,0.00,10.00,10.00,
