ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
1:0.25,5030901.55,100.00,2025-02-20,2025-03-27,,Sanima Capital Limited
2:1,3920928.00,100.00,2018-02-08,2018-03-14,,NMB Capital Limited
1:1,3240436.00,100.00,2017-02-13,2017-03-19,,NMB Capital Ltd.
10:8.488,1147784.00,100.00,2015-02-25,2015-03-31,,Civil Capital Market Ltd.
