ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:8,2097540.00,100.00,2017-09-02,2017-10-21,,NIBL Capital Market Ltd
1:1,1209375.00,100.00,2016-08-06,2016-09-10,,NIBL Capital Markets Ltd.
