fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,14.25,0.75,15.00,2026-04-09 [Closed]
2080/2081,14.25,0.75,15.00,2024-12-31 [Closed]
2079/2080,10.00,5.00,15.00,2024-01-01 [Closed]
