ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:7,9076297.00,100.00,2017-04-26,2017-05-30,,Ace Capital Limited
4:1,1122000.00,100.00,2015-02-26,2015-04-01,,Ace Capital Ltd.
2:1,1100000.00,100.00,2013-10-03,2013-11-06,,Elite Capital Ltd.
