fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2081/2082,0.00,15.00,15.00,2026-01-04 [Closed]
2080/2081,0.00,15.00,15.00,2025-04-30 [Closed]
2079/2080,,5.00,5.00,2024-03-26 [Closed]
