ratio,total_units,issue_price,opening_date,closing_date,status,issue_manager
10:3,15917617.00,100.00,2017-04-29,2017-06-03,,CBIL Capital Ltd.
2:1,15301440.00,100.00,2016-06-25,2016-07-30,,Nabil Investment Banking Ltd
