symbol,listing_date,end_date,years,start_price,ltp,initial_investment,total_units,market_value,cash_dividends,right_share_cost,total_invested,total_value,cagr_pct
BGWT,2023-10-12,2026-05-08,2.57,397.20,657.00,100000,298.49,196107.55,6924.24,0.00,100000.00,203031.80,31.72
MNMF1,2025-01-16,2026-05-08,1.31,9.45,9.73,100000,10582.01,102962.96,40211.64,0.00,100000.00,143174.60,31.63
MANDU,2023-10-11,2026-05-08,2.57,410.50,808.20,100000,243.61,196881.85,5359.32,0.00,100000.00,202241.17,31.48
RAWA,2023-07-05,2026-05-08,2.84,274.20,595.00,100000,364.70,216994.89,0.00,0.00,100000.00,216994.89,31.34
BHPL,2023-01-04,2026-05-08,3.34,213.70,520.00,100000,467.95,243331.77,0.00,0.00,100000.00,243331.77,30.50
TVCL,2023-12-07,2026-05-08,2.42,294.80,561.00,100000,339.21,190298.51,0.00,0.00,100000.00,190298.51,30.49
MHCL,2023-04-13,2026-05-08,3.07,155.10,345.00,100000,644.75,222437.14,0.00,0.00,100000.00,222437.14,29.76
MMKJL,2023-11-20,2026-05-08,2.46,259.60,490.00,100000,385.21,188751.93,0.00,0.00,100000.00,188751.93,29.41
ULHC,2023-09-25,2026-05-08,2.62,264.00,510.00,100000,378.79,193181.82,0.00,0.00,100000.00,193181.82,28.60
SPHL,2022-10-17,2026-05-08,3.56,214.20,512.00,100000,466.85,239028.94,0.00,0.00,100000.00,239028.94,27.76
SARBTM,2024-03-19,2026-05-08,2.14,611.60,838.00,100000,183.70,153939.34,5567.36,0.00,100000.00,159506.70,24.44
SIKLES,2022-11-15,2026-05-08,3.48,321.00,577.90,100000,358.26,207035.83,5394.08,0.00,100000.00,212429.91,24.20
MAKAR,2023-05-07,2026-05-08,3.00,255.00,488.10,100000,392.16,191411.76,0.00,0.00,100000.00,191411.76,24.13
MEHL,2023-09-25,2026-05-08,2.62,225.00,381.00,100000,444.44,169333.33,0.00,0.00,100000.00,169333.33,22.29
MKHL,2023-05-16,2026-05-08,2.98,301.50,516.50,100000,331.68,171310.12,0.00,0.00,100000.00,171310.12,19.81
SMH,2023-03-27,2026-05-08,3.12,430.10,572.10,100000,298.54,170792.00,1585.38,0.00,100000.00,172377.38,19.10
BEDC,2023-06-08,2026-05-08,2.92,223.00,360.00,100000,448.43,161434.98,0.00,0.00,100000.00,161434.98,17.85
SMHL,2023-03-05,2026-05-08,3.18,328.90,497.60,100000,335.21,166799.64,771.16,0.00,100000.00,167570.80,17.65
SNLI,2023-09-21,2026-05-08,2.63,470.00,448.50,100000,351.25,157535.43,5372.41,7111.91,107111.91,162907.84,17.30
AHL,2023-03-23,2026-05-08,3.13,328.60,524.00,100000,304.32,159464.39,0.00,0.00,100000.00,159464.39,16.10
PPL,2022-10-16,2026-05-08,3.56,255.70,345.00,100000,586.62,202385.61,0.00,19554.17,119554.17,202385.61,15.94
LSL,2023-08-28,2026-05-08,2.69,181.20,216.70,100000,682.04,147797.29,686.34,0.00,100000.00,148483.64,15.80
EHPL,2022-12-14,2026-05-08,3.40,237.60,384.00,100000,420.88,161616.16,0.00,0.00,100000.00,161616.16,15.18
SONA,2023-10-29,2026-05-08,2.52,315.00,437.10,100000,317.46,138761.90,0.00,0.00,100000.00,138761.90,13.86
NRM,2023-08-06,2026-05-08,2.75,275.40,392.00,100000,363.11,142338.42,0.00,0.00,100000.00,142338.42,13.68
RSY,2025-06-26,2026-05-08,0.87,9.07,10.13,100000,11025.36,111686.88,0.00,0.00,100000.00,111686.88,13.63
CLI,2023-10-01,2026-05-08,2.60,457.20,456.00,100000,291.63,132983.35,6216.33,0.00,100000.00,139199.68,13.56
UNLB,2023-02-28,2026-05-08,3.19,989.40,1460.00,100000,101.07,147564.18,0.00,0.00,100000.00,147564.18,12.97
SHLB,2022-12-20,2026-05-08,3.38,996.60,1490.00,100000,100.34,149508.33,0.00,0.00,100000.00,149508.33,12.63
MBLEF,2025-05-22,2026-05-08,0.96,9.10,10.13,100000,10989.01,111318.68,0.00,0.00,100000.00,111318.68,11.80
CIZBD90,2024-04-30,2026-05-08,2.02,1020.00,1265.00,100000,98.04,124019.61,0.00,0.00,100000.00,124019.61,11.24
NIMBPO,2023-03-20,2026-05-08,3.13,111.30,153.90,100000,898.47,138274.93,0.00,0.00,100000.00,138274.93,10.89
RBBD2088,2025-08-04,2026-05-08,0.76,982.10,1060.10,100000,101.82,107942.16,0.00,0.00,100000.00,107942.16,10.60
SMJC,2023-04-13,2026-05-08,3.07,340.00,440.00,100000,308.09,135558.82,73.53,0.00,100000.00,135632.35,10.44
BOKD86KA,2024-06-24,2026-03-01,1.68,1020.00,1204.00,100000,98.04,118039.22,0.00,0.00,100000.00,118039.22,10.35
SPIL,2023-04-04,2026-05-08,3.09,573.90,705.90,100000,174.25,123000.52,11500.26,0.00,100000.00,134500.78,10.05
TAMOR,2023-04-10,2026-05-08,3.08,324.50,433.70,100000,308.17,133651.77,0.00,0.00,100000.00,133651.77,9.88
RNLI,2023-09-17,2026-05-08,2.64,495.00,462.00,100000,262.46,121258.67,3467.26,0.00,100000.00,124725.93,8.73
SJLIC,2023-01-25,2026-05-08,3.28,408.70,431.30,100000,269.78,116357.08,14956.15,0.00,100000.00,131313.23,8.65
MLBLD89,2024-04-29,2026-05-08,2.02,1061.20,1250.00,100000,94.23,117791.18,0.00,0.00,100000.00,117791.18,8.43
VLUCL,2023-12-21,2026-05-08,2.38,401.80,485.00,100000,248.88,120706.82,0.00,0.00,100000.00,120706.82,8.23
SGIC,2023-01-23,2026-05-08,3.29,404.20,462.00,100000,279.26,129015.96,167.65,0.00,100000.00,129183.61,8.10
IHL,2023-06-20,2026-05-08,2.88,320.90,394.20,100000,311.62,122842.01,0.00,0.00,100000.00,122842.01,7.40
SRLI,2023-05-21,2026-05-08,2.97,404.80,393.00,100000,296.10,116365.63,5353.21,0.00,100000.00,121718.84,6.85
HBLD86,2023-12-18,2026-04-30,2.37,1000.00,1148.40,100000,100.00,114840.00,0.00,0.00,100000.00,114840.00,6.02
MCHL,2023-06-18,2026-05-08,2.89,255.20,301.00,100000,391.85,117946.71,0.00,0.00,100000.00,117946.71,5.88
